"filename", "language", "TypeScript", "JSON with Comments", "JavaScript", "JSON", "TypeScript JSX", "PostCSS", "Markdown", "PowerShell", "HTML", "comment", "blank", "total"
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\import_pocketbase.js", "JavaScript", 0, 0, 128, 0, 0, 0, 0, 0, 0, 8, 21, 157
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 2, 15
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 4, 20
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\list_dbs.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 7, 31
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\metadata.json", "JSON", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\migrated_prompt_history\prompt_2025-11-25T05_56_12.724Z.json", "JSON", 0, 0, 0, 209, 0, 0, 0, 0, 0, 0, 0, 209
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\package-lock.json", "JSON", 0, 0, 0, 4140, 0, 0, 0, 0, 0, 0, 1, 4141
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\package.json", "JSON", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\services\geminiService.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 43
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\src\pocketbase.ts", "TypeScript", 618, 0, 0, 0, 0, 0, 0, 0, 0, 86, 110, 814
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\test_create_building.mjs", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 6, 38
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\test_create_building_2.mjs", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 6, 34
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\test_getone.js", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 7, 33
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\test_insert.js", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 7, 38
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\test_pb.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 4, 16
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\tsconfig.json", "JSON with Comments", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\types.ts", "TypeScript", 181, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 196
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\unlock_users.mjs", "JavaScript", 0, 0, 40, 0, 0, 0, 0, 0, 0, 1, 6, 47
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\vite.config.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"Total", "-", 5854, 29, 954, 14058, 7538, 1, 13, 4, 13, 317, 1294, 30075
